category,id
Guerrilla,3276
Rocia,50160
Fila,15394
ToniQ,58581
ADIDAS,24424
Vishudh,59360
Rreverie,58097
Myntra,34378
Puma,19496
Jealous 21,3968
United Colors of Benetton,14613
United Colors of Benetton,19711
Nike,28512
Campbell,19113
Skechers,18409
FNF,59645
Tantra,4290
Nike,12802
Rocky S,58183
Flying Machine,30139
Genesis,12241
Aneri,56806
Footloose,21247
Belmonte,14176
Mineral,37940
Reebok,5303
Provogue,22132
Titan,59291
CASIO,25323
United Colors of Benetton,37229
2go,32265
Estelle,59767
Q&Q,53565
Playboy,32032
Skechers,41825
Femella,47656
Basics,14679
United Colors of Benetton,19627
Spykar,8812
Spykar,20351
Kiara,54009
Fastrack,56320
Wildcraft,38136
Nike,25496
Murcia,27728
Lakme,55064
United Colors of Benetton,37238
Playboy,32027
dunhill,44054
Scullers,8810
CASIO,37294
U.S. Polo Assn.,17262
Scullers,7150
Davidoff,26859
Clarks,50778
BIBA,21902
Franco Leone,47228
HM,56893
Nike,6547
Proline,26227
Reid & Taylor,17774
Tantra,3045
Catwalk,20267
Shree,47026
OTLS,36121
Wrangler,41411
Scullers,8595
United Colors of Benetton,19643
Latin Quarters,38842
Puma,2985
Casio,45151
Basics,41606
Lotto,6450
Lee,6241
Wrangler,4386
Levis,17859
United Colors of Benetton,19616
Lino Perros,18012
Basics,12464
Arrow,18719
Vishudh,45838
Numero Uno,13074
Portia,47573
Sushilas,54564
Fila,7716
Rocia,54135
Enroute,35782
Wrangler,10803
John Players,37784
Lee,11772
Rocia,53076
Senorita,59212
Estelle,42601
Aurelia,24159
Ray-Ban,23739
Timberland,6914
Aurelia,50338
Timex,46536
Lakme,55146
Status Quo,14956
BIBA,22751
Speedo,17590
Spykar,36841
Mark Taylor,8862
Lee,35261
Fila,29207
Red Rose,52486
Colorbar,56088
French Connection,42876
Nike,1833
Locomotive,31337
United Colors of Benetton,10355
Myntra,30320
Vishudh,53838
Nike,26709
Puma,26688
Fossil,58449
ADIDAS,4817
Kipsta,5357
ADIDAS,2607
Pieces,33737
Fabindia,30925
Lee,44585
ID,26548
Fastrack,51559
SDL by Sweet Dreams,56241
Fastrack,8212
Alma,42662
Proline,7796
Catwalk,39199
AMERICAN TOURISTER,37701
U.S. Polo Assn.,19814
Nike,15636
OTLS,36020
Nike,28603
Titan,59276
Scullers,32502
Femella,54147
Estelle,46057
Puma,7935
Mark Taylor,17561
Rocia,54122
Prafful,50903
Gini and Jony,40955
Revlon,55540
ADIDAS,2048
Diva,25851
Reebok,22555
French Connection,42844
Tonga,58506
Indian Terrain,44288
Reid & Taylor,36405
ADIDAS,42123
French Connection,42951
disney,4378
Levis,4908
Cobblerz,33526
Maxima,45022
Amante,53631
ONLY,32578
Disney,10741
Wrangler,25744
Woodland,38788
Colorbar,55936
Cobblerz,45328
Gini and Jony,34167
FNF,59659
HM,56933
Proline,23695
French Connection,48431
Vans,14564
DC Comics,41699
Arrow,45614
Lovable,30467
Gini and Jony,40931
ADIDAS,14323
Red Chief,39303
Indigo Nation,24840
ADIDAS,8411
QnQ,38020
Shree,46999
Mother Earth,27280
Bulchee,46986
Miami Blues,38164
Bwitch,51816
ADIDAS,5616
Red Tape,2368
U.S. Polo Assn.,18008
Baggit,58253
Locomotive,31340
Amante,57409
Lino Perros,25187
John Miller,26148
Aurelia,19056
ADIDAS,34520
Angry Birds,57448
United Colors of Benetton,6245
ADIDAS,34842
Catwalk,2874
Fabindia,35325
Streetwear,56468
Adrika,46129
Converse,5868
Fossil,48170
United Colors of Benetton,24729
Inkfruit,3687
Lee,11354
ADIDAS,15920
Red Tape,20823
Timberland,12452
John Players,37717
Rocia,45409
Parx,49754
FILA,23505
Arrow,26811
Nike,17825
Lino Perros,25171
Lakme,55267
Gini and Jony,38933
Enamor,50979
Arrow,15117
Puma,9375
Timberland,13384
Fastrack,22927
ADIDAS,2606
Puma,31237
Lotto,4508
Reebok,10102
Nike,32656
SDL by Sweet Dreams,55818
Nike,23579
Scullers,40281
Red Tape,24101
United Colors of Benetton,29172
Aneri,39139
Mark Taylor,9260
Colorbar,55875
Baggit,33402
ADIDAS,13654
Lakme,55070
U.S. Polo Assn.,17281
Tokyo Talkies,16141
W,40579
Rocia,54109
Myntra,52074
Little Miss,22225
Nike,15601
Baggit,33369
Arrow,38978
Fastrack,22940
Murcia,10253
ADIDAS,32467
Fabindia,53098
Genesis,12229
Biba,21910
Lakme,55053
Lotus Herbals,57589
Fabindia,46012
Ray-Ban,28208
United Colors of Benetton,20860
Scullers,9597
Timberland,6780
Titan,40501
Tokyo Talkies,59421
Nike,14132
Inc 5,13275
ADIDAS,13112
Pitaraa,48348
Rocky S,58167
Spykar,12054
Bulchee,27808
Louis Philippe,51683
Park Avenue,51261
Aurelia,50321
Miami Blues,38172
Myntra,30349
Mr.Men,36315
Tantra,6939
ADIDAS,4800
Puma,5849
Gas,39956
United Colors of Benetton,13418
Puma,9358
ADIDAS,4637
Gas,17055
Gini and Jony,31099
United Colors of Benetton,14876
U.S. Polo Assn.,17184
John Miller,9418
Hakashi,58850
FNF,59674
Indigo Nation,9643
Femella,47672
Lakme,55266
Vishudh,36830
Nike,9534
DC Comics,4356
Carlton London,59023
Wrangler,20254
ADIDAS,8103
Colorbar,55883
Reid & Taylor,12376
Franco Leone,47233
Urban Yoga,15373
Madagascar3,37527
Mr. Men,2837
Nike,12799
Doodle,34092
Van Heusen,34479
Arrow,41246
Vans,17698
Hanes,49939
ADIDAS,8399
ADIDAS,41847
ipanema,49826
Sepia,42210
ALayna,58670
Wrangler,41386
Gini and Jony,39840
GUESS,19297
Urban Yoga,7133
Timex,46527
Fastrack,54633
Ben 10,36000
Catwalk,39563
Nike,42831
Quechua,1557
Jockey,27491
ADIDAS,33954
Nike,38562
Proline,34205
Peter England,39798
Disney,10771
Genesis,41851
Nike,24553
Arrow Sport,15140
Nike,58232
Revlon,55387
Globalite,44732
W,11563
Nike,5469
Lino Perros,25256
FILA,39013
Puma,17975
Femella,47662
Myntra,30309
French Connection,42874
Gini and Jony,36719
Baggit,33480
Reid & Taylor,49573
Myntra,4035
Wrangler,5099
Adrika,46192
Aneri,43253
Reid&Taylor,19344
Esprit,10138
ADIDAS,24327
CASIO,45157
United Colors of Benetton,6079
Avengers,48239
United Colors of Benetton,13428
Cobblerz,33690
French Connection,48063
Rockport,15510
Enamor,50966
Wrangler,20153
Doodle,10689
Lino Perros,18038
Levis,17885
United Colors of Benetton,11448
Puma,7835
Colorbar,55971
Red Chief,39284
Mr. Men,2856
Nike,9954
Jealous 21,7178
Pepe Jeans,52548
ADIDAS,3479
Scullers,7146
Chromozome,50623
Myntra,34357
Envirosax,34878
Highlander,26822
Lino Perros,25120
French Connection,42893
Arrow Woman,18732
Jockey,28020
Nike,32643
FIFA,1886
Chromozome,50436
Kipsta,5362
Nike,5437
United Colors of Benetton,24886
Fastrack,25627
Gini and Jony,13336
Arrow,23485
Fastrack,20986
Puma,6143
s.Oliver,6952
Lotus,57755
Converse,19903
United Colors of Benetton,48226
Provogue,22128
Ganuchi,11944
Inc. 5,13015
Peter England,39784
Reebok,5301
Nike,7553
Wildcraft,39490
Proline,26297
Fossil,58486
Royal Diadem,43796
Revv,59566
Kiara,21499
Red Tape,5316
Ray-Ban,28177
Vishudh,53863
Puma,5900
SDL by Sweet Dreams,55807
Fabindia,34904
W,23321
Hanes,50018
Puma,5812
Arrow,39730
Remanika,41787
Biotique,57864
Rreverie,58074
Nike,5605
Opium,30560
Louis Philippe,51685
Enamor,51042
Streetwear,56506
Scullers,27538
Vishudh,53833
Fastrack,22932
ADIDAS,40060
Puma,9122
Spykar,27379
Quiksilver,40773
Maxima,45937
Aneri,18259
Puma,26477
Catwalk,33093
Puma,6285
Wrangler,20224
Rocia,57305
United Colors of Benetton,19545
Wrangler,51588
United Colors of Benetton,14791
ADIDAS,19745
Forever New,6886
Lee Cooper,41458
Franco Leone,11881
French Connection,43674
Myntra,4032
Gini and Jony,31167
Buckaroo,20691
Puma,9139
Flying Machine,10432
Biotique,57867
Portia,47590
Amante,57351
Peri Peri,59085
ADIDAS,39878
Fila,28599
Estd. 1977,41864
Satya Paul,51079
Reebok,18470
Lee Cooper,2817
Fabindia,30833
Wrangler,29287
Nautica,41036
ASICS,13204
Miami Blues,58532
Belmonte,13733
Lee Cooper,2831
Lino Perros,25163
Fila,15409
Mother Earth,42520
Fabindia,45997
Indigo Nation,8775
Classic Polo,29548
Facit,15779
York,46933
Palm Tree,40990
ADIDAS,5915
United Colors of Benetton,12493
