car_id,problem_category
77168,BACK OVER PREVENTION
32836,ENGINE AND ENGINE COOLING
173638,SERVICE BRAKES
82335,ELECTRICAL SYSTEM
67729,VISIBILITY
69157,ENGINE
29140,ELECTRICAL SYSTEM
131500,FORWARD COLLISION AVOIDANCE
155382,POWER TRAIN
133975,STEERING
56549,ENGINE
138069,ENGINE
169904,ENGINE
21212,ELECTRICAL SYSTEM
211249,ENGINE
112206,FORWARD COLLISION AVOIDANCE
248161,STEERING
26594,STEERING
19288,WHEELS
254135,VEHICLE SPEED CONTROL
124160,POWER TRAIN
220044,ELECTRICAL SYSTEM
71383,VISIBILITY
275000,WHEELS
71836,POWER TRAIN
296816,ENGINE
124358,ENGINE
3901,POWER TRAIN
297016,LATCHES/LOCKS/LINKAGES
293716,FUEL SYSTEM
91705,ELECTRICAL SYSTEM
130674,ENGINE
163542,STEERING
74524,EXTERIOR LIGHTING
226313,ENGINE
113519,ENGINE
19342,ENGINE
267891,FUEL SYSTEM
25543,ENGINE
83999,ELECTRICAL SYSTEM
22648,SERVICE BRAKES
246840,VISIBILITY
56791,FORWARD COLLISION AVOIDANCE
186850,AIR BAGS
92309,SERVICE BRAKES
80305,POWER TRAIN
25828,ENGINE AND ENGINE COOLING
205326,ENGINE
294672,ELECTRICAL SYSTEM
50230,ENGINE
164813,ENGINE
129617,POWER TRAIN
157097,ENGINE AND ENGINE COOLING
114849,SERVICE BRAKES
132886,ENGINE
51551,STEERING
151478,EXTERIOR LIGHTING
83255,ENGINE
124497,POWER TRAIN
232484,STEERING
12998,POWER TRAIN
205969,STRUCTURE
3980,ENGINE AND ENGINE COOLING
182553,ELECTRICAL SYSTEM
84189,STEERING
264299,VEHICLE SPEED CONTROL
177919,SERVICE BRAKES
88307,SERVICE BRAKES
126469,SUSPENSION
276802,ENGINE
202870,ENGINE AND ENGINE COOLING
123000,POWER TRAIN
201651,BACK OVER PREVENTION
162150,AIR BAGS
15949,AIR BAGS
47559,VEHICLE SPEED CONTROL
279798,SERVICE BRAKES
146611,FORWARD COLLISION AVOIDANCE
230152,ELECTRICAL SYSTEM
266272,STEERING
28472,ELECTRICAL SYSTEM
256028,POWER TRAIN
16974,POWER TRAIN
115003,AIR BAGS
74533,STEERING
167106,FUEL SYSTEM
45379,SERVICE BRAKES
162349,FUEL/PROPULSION SYSTEM
31997,ENGINE
247782,POWER TRAIN
69349,VISIBILITY
238065,FUEL SYSTEM
31579,ENGINE
218811,VISIBILITY
148779,SERVICE BRAKES
258384,ELECTRICAL SYSTEM
107066,ELECTRICAL SYSTEM
42569,STEERING
36825,WHEELS
52843,AIR BAGS
238682,FUEL/PROPULSION SYSTEM
201597,ENGINE
9480,VEHICLE SPEED CONTROL
237459,SERVICE BRAKES
272548,ENGINE
36179,LATCHES/LOCKS/LINKAGES
115891,ENGINE
79075,STEERING
30056,AIR BAGS
128495,FORWARD COLLISION AVOIDANCE
67799,POWER TRAIN
204476,AIR BAGS
58032,FORWARD COLLISION AVOIDANCE
141460,STEERING
162666,SERVICE BRAKES
270293,ENGINE
115736,ELECTRICAL SYSTEM
171744,VEHICLE SPEED CONTROL
78706,ELECTRICAL SYSTEM
65122,FORWARD COLLISION AVOIDANCE
268088,ENGINE
14867,EXTERIOR LIGHTING
234497,ENGINE
51867,STRUCTURE
190477,ENGINE
171555,STRUCTURE
261592,ENGINE AND ENGINE COOLING
78755,VISIBILITY
228702,STRUCTURE
259370,FUEL SYSTEM
97099,ENGINE
59046,VEHICLE SPEED CONTROL
296466,AIR BAGS
65410,ELECTRICAL SYSTEM
137102,AIR BAGS
265173,STRUCTURE
48220,ENGINE
227796,POWER TRAIN
89405,POWER TRAIN
56443,SERVICE BRAKES
105927,POWER TRAIN
56688,ENGINE
2282,FORWARD COLLISION AVOIDANCE
125359,ELECTRICAL SYSTEM
264374,FUEL/PROPULSION SYSTEM
191346,ELECTRICAL SYSTEM
222503,ELECTRICAL SYSTEM
158932,TIRES
125331,FORWARD COLLISION AVOIDANCE
272331,SUSPENSION
178183,FUEL SYSTEM
19616,ELECTRICAL SYSTEM
4873,ENGINE
258646,AIR BAGS
515,STRUCTURE
98095,FUEL SYSTEM
218815,VISIBILITY
27887,SUSPENSION
39419,FUEL/PROPULSION SYSTEM
173643,AIR BAGS
47851,FORWARD COLLISION AVOIDANCE
280926,AIR BAGS
269907,ENGINE
293,ENGINE
297426,POWER TRAIN
90599,ENGINE
231211,SERVICE BRAKES
216476,SUSPENSION
127678,SERVICE BRAKES
81960,WHEELS
242531,VISIBILITY
174275,ELECTRICAL SYSTEM
240856,ENGINE
12858,ENGINE AND ENGINE COOLING
87817,SEAT BELTS
275709,ENGINE
15160,ENGINE
464,SERVICE BRAKES
57107,POWER TRAIN
32085,SERVICE BRAKES
154911,ENGINE
7337,VEHICLE SPEED CONTROL
81689,SUSPENSION
8687,ENGINE
72,ENGINE AND ENGINE COOLING
62657,STRUCTURE
205129,WHEELS
146117,FORWARD COLLISION AVOIDANCE
112048,ENGINE
260308,POWER TRAIN
275945,ELECTRICAL SYSTEM
62216,STEERING
108200,SUSPENSION
46993,STEERING
11959,SERVICE BRAKES
81730,TIRES
169451,ENGINE
231498,EXTERIOR LIGHTING
179439,ELECTRICAL SYSTEM
205810,ENGINE
151072,FUEL/PROPULSION SYSTEM
197850,ENGINE AND ENGINE COOLING
163192,POWER TRAIN
218661,STRUCTURE
46326,FORWARD COLLISION AVOIDANCE
280145,ELECTRICAL SYSTEM
22012,FUEL SYSTEM
68540,AIR BAGS
105522,POWER TRAIN
246948,FUEL SYSTEM
164024,LATCHES/LOCKS/LINKAGES
142777,POWER TRAIN
252607,ENGINE
69538,ELECTRICAL SYSTEM
137481,STRUCTURE
85909,SUSPENSION
93116,SERVICE BRAKES
206711,POWER TRAIN
238028,STRUCTURE
240776,VISIBILITY
151539,ENGINE
150687,AIR BAGS
289840,SERVICE BRAKES
269477,FUEL/PROPULSION SYSTEM
184339,FUEL/PROPULSION SYSTEM
189923,AIR BAGS
199479,ELECTRICAL SYSTEM
31927,FUEL SYSTEM
217830,VISIBILITY/WIPER
290980,ENGINE
211532,POWER TRAIN
253052,EQUIPMENT
266930,ENGINE
261470,STEERING
44872,FORWARD COLLISION AVOIDANCE
159066,ENGINE
77662,ENGINE
270480,SEATS
267724,ELECTRICAL SYSTEM
250318,ELECTRICAL SYSTEM
2302,VISIBILITY/WIPER
87199,VISIBILITY/WIPER
15432,VISIBILITY
17679,FUEL/PROPULSION SYSTEM
278692,STRUCTURE
48756,ENGINE
222135,ENGINE
72434,ELECTRICAL SYSTEM
13896,ENGINE
233227,SERVICE BRAKES
88117,ENGINE
27351,AIR BAGS
188380,SERVICE BRAKES
62306,ENGINE
178583,ENGINE
259008,ENGINE
205028,FORWARD COLLISION AVOIDANCE
242897,STRUCTURE
98215,ENGINE
229086,AIR BAGS
69960,STRUCTURE
220129,FUEL/PROPULSION SYSTEM
132738,ENGINE
250535,ELECTRICAL SYSTEM
200567,FUEL/PROPULSION SYSTEM
234026,VEHICLE SPEED CONTROL
255691,VEHICLE SPEED CONTROL
83812,ELECTRICAL SYSTEM
289632,POWER TRAIN
213668,ELECTRICAL SYSTEM
104176,ENGINE AND ENGINE COOLING
254821,ENGINE
200462,VISIBILITY
181710,ENGINE AND ENGINE COOLING
201479,FUEL SYSTEM
101057,FUEL/PROPULSION SYSTEM
90929,ENGINE
289704,ENGINE
96861,STEERING
168310,VEHICLE SPEED CONTROL
136907,ENGINE
168134,LATCHES/LOCKS/LINKAGES
207057,ENGINE
70081,AIR BAGS
57554,POWER TRAIN
256432,POWER TRAIN
291396,SUSPENSION
85586,ELECTRICAL SYSTEM
189566,ELECTRICAL SYSTEM
215355,ELECTRICAL SYSTEM
129682,ENGINE
73965,AIR BAGS
125749,FUEL/PROPULSION SYSTEM
176770,EXTERIOR LIGHTING
142177,ENGINE
195178,AIR BAGS
177694,SEATS
235422,EXTERIOR LIGHTING
258583,POWER TRAIN
179344,ELECTRICAL SYSTEM
237844,ELECTRICAL SYSTEM
208602,ELECTRICAL SYSTEM
45160,VISIBILITY
217335,SERVICE BRAKES
6710,STEERING
16332,ENGINE AND ENGINE COOLING
162756,POWER TRAIN
193828,ELECTRICAL SYSTEM
207370,FUEL/PROPULSION SYSTEM
245665,ELECTRICAL SYSTEM
212609,AIR BAGS
185757,ENGINE AND ENGINE COOLING
104121,POWER TRAIN
126184,ELECTRICAL SYSTEM
35388,POWER TRAIN
40225,POWER TRAIN
11754,ENGINE
288878,POWER TRAIN
94857,ENGINE AND ENGINE COOLING
72322,ENGINE
85701,ENGINE
202144,AIR BAGS
152882,TIRES
249331,ENGINE
86517,SUSPENSION
33279,STEERING
113177,STEERING
72303,FUEL SYSTEM
5618,ENGINE AND ENGINE COOLING
221620,ENGINE
185132,POWER TRAIN
15253,VISIBILITY
286523,VISIBILITY
255815,POWER TRAIN
214494,SEAT BELTS
216080,ELECTRICAL SYSTEM
81203,VISIBILITY/WIPER
181278,SEATS
263218,POWER TRAIN
186910,ENGINE
291598,POWER TRAIN
139800,SEATS
177912,ENGINE
151387,POWER TRAIN
243155,POWER TRAIN
168617,ELECTRICAL SYSTEM
247533,STEERING
174489,VEHICLE SPEED CONTROL
48645,FUEL/PROPULSION SYSTEM
223843,STEERING
182001,ENGINE
67009,SEATS
93430,POWER TRAIN
277551,POWER TRAIN
27708,ENGINE
190711,ENGINE
145522,SERVICE BRAKES
140386,ELECTRICAL SYSTEM
225922,ENGINE
24342,AIR BAGS
99639,STRUCTURE
190452,ENGINE
236439,AIR BAGS
9897,ENGINE
171487,POWER TRAIN
185776,ENGINE
114898,ENGINE
151202,SERVICE BRAKES
217704,STEERING
191583,ENGINE AND ENGINE COOLING
223863,ENGINE
174203,POWER TRAIN
117740,POWER TRAIN
208412,POWER TRAIN
99740,SERVICE BRAKES
18163,ENGINE
239392,EXTERIOR LIGHTING
64655,ELECTRICAL SYSTEM
286289,ENGINE
32240,FUEL/PROPULSION SYSTEM
246395,ENGINE AND ENGINE COOLING
60485,ENGINE
122101,ENGINE
18155,STEERING
153646,FUEL/PROPULSION SYSTEM
117342,ELECTRICAL SYSTEM
161610,VEHICLE SPEED CONTROL
260451,FORWARD COLLISION AVOIDANCE
110268,STRUCTURE
181446,FUEL/PROPULSION SYSTEM
299865,POWER TRAIN
8421,ELECTRICAL SYSTEM
261374,ENGINE
151601,WHEELS
96723,VISIBILITY
161588,ELECTRICAL SYSTEM
185423,VISIBILITY
227776,AIR BAGS
277982,ENGINE
102894,SEATS
158219,ELECTRICAL SYSTEM
228773,ELECTRICAL SYSTEM
171477,FUEL/PROPUISION SYSTEM
145513,POWER TRAIN
11460,AIR BAGS
227719,STRUCTURE
84148,ENGINE
66312,EXTERIOR LIGHTING
269019,ENGINE
228809,ELECTRICAL SYSTEM
140217,POWER TRAIN
236163,ELECTRICAL SYSTEM
195415,STEERING
242282,ENGINE
28118,ENGINE
77336,AIR BAGS
21322,STRUCTURE
68317,ENGINE
131876,FUEL/PROPULSION SYSTEM
128360,ENGINE
109758,TIRES
221395,LATCHES/LOCKS/LINKAGES
210428,SERVICE BRAKES
241461,ENGINE
32515,ENGINE AND ENGINE COOLING
41864,ENGINE
137981,AIR BAGS
165652,POWER TRAIN
210682,ENGINE
256794,SERVICE BRAKES
191162,POWER TRAIN
185526,SERVICE BRAKES
285101,POWER TRAIN
29760,AIR BAGS
109783,FORWARD COLLISION AVOIDANCE
184154,ENGINE AND ENGINE COOLING
105876,VEHICLE SPEED CONTROL
29842,STRUCTURE
108388,TIRES
111498,SERVICE BRAKES
108307,AIR BAGS
27497,ELECTRICAL SYSTEM
58523,POWER TRAIN
227025,SUSPENSION
282160,ENGINE
264468,ENGINE
155609,VEHICLE SPEED CONTROL
75846,STRUCTURE
223633,POWER TRAIN
168996,ELECTRICAL SYSTEM
121300,STRUCTURE
148412,VISIBILITY
112133,POWER TRAIN
151126,ENGINE
146912,ELECTRICAL SYSTEM
39352,POWER TRAIN
212938,ENGINE
74985,ELECTRICAL SYSTEM
12405,FUEL/PROPULSION SYSTEM
23495,ENGINE AND ENGINE COOLING
35107,ENGINE
297169,ENGINE
259837,FORWARD COLLISION AVOIDANCE
130224,EQUIPMENT
293479,STEERING
216250,SERVICE BRAKES
94749,ELECTRICAL SYSTEM
195727,POWER TRAIN
47634,ENGINE
140487,VEHICLE SPEED CONTROL
9102,ELECTRICAL SYSTEM
19076,FUEL/PROPULSION SYSTEM
45284,POWER TRAIN
109251,ENGINE
264288,ELECTRICAL SYSTEM
245474,SERVICE BRAKES
115941,ENGINE
45749,TIRES
47992,FUEL/PROPULSION SYSTEM
159604,POWER TRAIN
60942,SERVICE BRAKES
259186,STEERING
186946,SERVICE BRAKES
295375,ENGINE
183758,ENGINE
31446,ELECTRICAL SYSTEM
60185,SERVICE BRAKES
254829,STRUCTURE
31505,ELECTRICAL SYSTEM
261181,FUEL/PROPULSION SYSTEM
244899,TIRES
194870,STRUCTURE
265115,ELECTRICAL SYSTEM
131012,ENGINE
111259,ELECTRICAL SYSTEM
118358,STEERING
123390,ELECTRICAL SYSTEM
249317,WHEELS
110787,FORWARD COLLISION AVOIDANCE
60346,FUEL SYSTEM
269738,ENGINE
267039,ELECTRICAL SYSTEM
259470,AIR BAGS
99537,STEERING
297071,FUEL SYSTEM
295118,POWER TRAIN
17113,ENGINE
98165,ENGINE AND ENGINE COOLING
45255,POWER TRAIN
281647,ENGINE
108964,EXTERIOR LIGHTING
267504,POWER TRAIN
189314,LATCHES/LOCKS/LINKAGES
66904,ENGINE
104547,AIR BAGS
226474,ELECTRICAL SYSTEM
18603,LATCHES/LOCKS/LINKAGES
38700,ENGINE
241613,ENGINE
174740,ENGINE AND ENGINE COOLING
4099,STEERING
49970,POWER TRAIN
291940,FORWARD COLLISION AVOIDANCE
291063,STRUCTURE
116235,VISIBILITY/WIPER
4157,ELECTRICAL SYSTEM
229730,LATCHES/LOCKS/LINKAGES
298196,ELECTRICAL SYSTEM
107407,TIRES
151381,LATCHES/LOCKS/LINKAGES
108886,ENGINE
147924,ENGINE
26191,FUEL SYSTEM
153232,ENGINE AND ENGINE COOLING
57369,ELECTRICAL SYSTEM
39459,ENGINE
274038,ENGINE
272956,POWER TRAIN
241647,ENGINE
174912,ELECTRICAL SYSTEM
70578,SERVICE BRAKES
216679,STRUCTURE
2046,ENGINE
298558,SERVICE BRAKES
146184,ENGINE AND ENGINE COOLING
120610,SERVICE BRAKES
222658,FUEL SYSTEM
86181,STRUCTURE
43045,FUEL/PROPULSION SYSTEM
143115,STEERING
78368,POWER TRAIN
47375,ENGINE
184019,ENGINE
176201,POWER TRAIN
251091,POWER TRAIN
27606,ENGINE AND ENGINE COOLING
189118,LATCHES/LOCKS/LINKAGES
281613,EQUIPMENT
156567,ENGINE
250640,ENGINE
194919,EXTERIOR LIGHTING
206626,ENGINE AND ENGINE COOLING
223305,POWER TRAIN
262721,WHEELS
49219,EXTERIOR LIGHTING
24973,STRUCTURE
204378,FUEL/PROPULSION SYSTEM
197361,STEERING
76576,ENGINE
116807,ENGINE
27852,VISIBILITY/WIPER
106918,ENGINE AND ENGINE COOLING
280927,AIR BAGS
29958,VISIBILITY
44375,POWER TRAIN
227908,VISIBILITY
168011,SERVICE BRAKES
126886,POWER TRAIN
190597,EQUIPMENT
74115,POWER TRAIN
117049,ENGINE
105271,ELECTRICAL SYSTEM
69537,WHEELS
219020,VISIBILITY/WIPER
139579,ENGINE
85013,SEAT BELTS
256294,AIR BAGS
123313,POWER TRAIN
290357,STRUCTURE
103187,VISIBILITY
185615,ENGINE
288009,FUEL/PROPULSION SYSTEM
221733,FORWARD COLLISION AVOIDANCE
70782,POWER TRAIN
274554,ENGINE
199254,SERVICE BRAKES
231613,SERVICE BRAKES
137051,ENGINE
75371,SUSPENSION
16208,POWER TRAIN
72106,STRUCTURE
139532,BACK OVER PREVENTION
132448,POWER TRAIN
205517,SERVICE BRAKES
287181,ENGINE AND ENGINE COOLING
28015,POWER TRAIN
186709,ENGINE
263769,SERVICE BRAKES
299802,ENGINE
196638,ELECTRICAL SYSTEM
224149,ELECTRICAL SYSTEM
285060,ENGINE AND ENGINE COOLING
168721,POWER TRAIN
290320,SERVICE BRAKES
299833,TIRES
105718,ELECTRICAL SYSTEM
25176,BACK OVER PREVENTION
142239,POWER TRAIN
28666,AIR BAGS
30381,POWER TRAIN
108107,ELECTRICAL SYSTEM
198576,AIR BAGS
36299,ELECTRICAL SYSTEM
234153,ELECTRICAL SYSTEM
241782,TIRES
31862,POWER TRAIN
34395,FUEL/PROPULSION SYSTEM
234225,WHEELS
107472,POWER TRAIN
140458,ELECTRICAL SYSTEM
292536,STRUCTURE
1680,ENGINE
11238,ENGINE
270812,AIR BAGS
8027,EXTERIOR LIGHTING
204486,POWER TRAIN
94412,ELECTRICAL SYSTEM
218568,AIR BAGS
5967,VISIBILITY
32842,ENGINE
203799,SERVICE BRAKES
59833,STRUCTURE
75593,VISIBILITY
61177,POWER TRAIN
273396,POWER TRAIN
34503,FUEL/PROPULSION SYSTEM
239175,ENGINE
68760,ENGINE AND ENGINE COOLING
145599,POWER TRAIN
80123,FORWARD COLLISION AVOIDANCE
14873,TIRES
259230,FORWARD COLLISION AVOIDANCE
53355,POWER TRAIN
50827,ENGINE
234999,ENGINE
286270,SEATS
35926,EQUIPMENT
236172,POWER TRAIN
296739,ENGINE
70659,SERVICE BRAKES
71031,POWER TRAIN
170739,ENGINE AND ENGINE COOLING
111218,ELECTRICAL SYSTEM
4905,ELECTRICAL SYSTEM
213666,VISIBILITY
208004,STRUCTURE
47450,SERVICE BRAKES
235084,POWER TRAIN
68885,POWER TRAIN
90598,VISIBILITY
284681,SEATS
9575,VISIBILITY
186341,SERVICE BRAKES
70829,SERVICE BRAKES
164588,POWER TRAIN
243222,SERVICE BRAKES
229927,ENGINE
153193,POWER TRAIN
179451,FORWARD COLLISION AVOIDANCE
77648,ENGINE
108992,POWER TRAIN
226875,EXTERIOR LIGHTING
8751,VEHICLE SPEED CONTROL
264011,AIR BAGS
64519,FORWARD COLLISION AVOIDANCE
286386,FUEL/PROPULSION SYSTEM
97860,ELECTRICAL SYSTEM
179376,ENGINE AND ENGINE COOLING
180846,ELECTRICAL SYSTEM
81569,POWER TRAIN
156968,ENGINE
12257,TIRES
248184,POWER TRAIN
60709,POWER TRAIN
256479,SERVICE BRAKES
61937,AIR BAGS
267801,ENGINE AND ENGINE COOLING
72286,VISIBILITY
118029,ELECTRICAL SYSTEM
57986,ELECTRICAL SYSTEM
283898,SUSPENSION
195099,ENGINE AND ENGINE COOLING
27398,ENGINE AND ENGINE COOLING
8239,FORWARD COLLISION AVOIDANCE
224889,SERVICE BRAKES
17542,ENGINE
286749,VEHICLE SPEED CONTROL
279348,POWER TRAIN
156802,STEERING
293233,FUEL SYSTEM
10383,SEAT BELTS
163725,STRUCTURE
94606,STEERING
83963,STRUCTURE
293453,VISIBILITY
290854,POWER TRAIN
57995,STRUCTURE
211597,FORWARD COLLISION AVOIDANCE
36647,EXTERIOR LIGHTING
268550,STEERING
215639,FUEL/PROPULSION SYSTEM
234920,ENGINE
54994,AIR BAGS
107437,SERVICE BRAKES
192761,STRUCTURE
117579,ENGINE
161094,ENGINE
108760,TIRES
248035,ELECTRICAL SYSTEM
11958,ENGINE
291077,ELECTRICAL SYSTEM
237875,SERVICE BRAKES
214474,ENGINE
51805,FORWARD COLLISION AVOIDANCE
238392,VISIBILITY
231715,ENGINE
7772,ENGINE
5209,WHEELS
10663,AIR BAGS
195609,ENGINE
104561,ENGINE
9273,ENGINE
150093,ENGINE
141033,STEERING
106725,STEERING
10015,STEERING
139226,AIR BAGS
167611,SERVICE BRAKES
82073,ENGINE
256354,STEERING
117650,ELECTRICAL SYSTEM
95636,SEAT BELTS
203927,POWER TRAIN
247736,ENGINE
280275,ENGINE
51158,ENGINE
12969,VISIBILITY
81673,ENGINE
110291,FORWARD COLLISION AVOIDANCE
269903,TIRES
247687,STRUCTURE
156601,ENGINE
145681,AIR BAGS
13355,SERVICE BRAKES
130713,VISIBILITY
17117,ELECTRICAL SYSTEM
202317,SERVICE BRAKES
210538,AIR BAGS
152414,ENGINE
195563,SERVICE BRAKES
299636,ENGINE
257442,ENGINE
165725,ELECTRICAL SYSTEM
3593,FUEL SYSTEM
142579,FUEL/PROPULSION SYSTEM
97220,POWER TRAIN
124703,ENGINE
31321,ELECTRICAL SYSTEM
116364,POWER TRAIN
45733,FUEL/PROPULSION SYSTEM
172540,POWER TRAIN
173714,STEERING
280296,ENGINE
257143,ENGINE
213121,TIRES
